iter	Passed	Remaining
300	588	1886
301	590	1881
302	591	1876
303	592	1872
304	593	1868
305	594	1863
306	595	1859
307	596	1854
308	598	1850
309	599	1846
310	600	1842
311	602	1839
312	604	1838
313	606	1835
314	607	1831
315	609	1829
316	610	1824
317	611	1820
318	612	1817
319	613	1812
320	615	1809
321	616	1805
322	617	1801
323	618	1797
324	619	1792
325	621	1788
326	622	1784
327	623	1780
328	624	1776
329	625	1772
330	627	1769
331	628	1765
332	629	1762
333	630	1758
334	631	1753
335	632	1749
336	634	1745
337	635	1741
338	636	1738
339	637	1734
340	638	1730
341	639	1726
342	641	1723
343	642	1719
344	644	1718
345	646	1716
346	648	1714
347	650	1712
348	651	1710
349	653	1707
350	654	1704
351	655	1700
352	657	1698
353	659	1696
354	660	1693
355	661	1689
356	663	1687
357	665	1685
358	666	1682
359	668	1679
360	669	1676
361	671	1674
362	672	1671
363	673	1667
364	674	1663
365	675	1660
366	677	1656
367	678	1653
368	679	1649
369	680	1645
370	681	1642
371	682	1638
372	683	1635
373	685	1632
374	686	1629
375	688	1627
376	689	1623
377	690	1620
378	691	1617
379	693	1614
380	694	1612
381	696	1609
382	697	1605
383	698	1602
384	699	1599
385	700	1596
386	702	1592
387	703	1589
388	704	1585
389	705	1582
390	706	1579
391	707	1576
392	708	1572
393	710	1569
394	713	1572
395	715	1570
396	717	1569
397	719	1566
398	721	1566
399	722	1563
400	724	1560
401	725	1556
402	726	1553
403	727	1550
404	729	1549
405	731	1546
406	732	1544
407	734	1542
408	736	1541
409	738	1539
410	742	1542
411	745	1544
412	747	1542
413	749	1541
414	752	1540
415	754	1539
416	757	1539
417	759	1538
418	761	1537
419	763	1535
420	765	1533
421	767	1534
422	770	1532
423	772	1531
424	774	1529
425	776	1528
426	777	1526
427	779	1524
428	781	1523
429	784	1522
430	786	1521
431	788	1519
432	789	1516
433	790	1514
434	792	1511
435	793	1508
436	794	1505
437	796	1503
438	797	1500
439	798	1497
440	800	1495
441	801	1492
442	803	1490
443	804	1488
444	806	1485
445	807	1482
446	808	1480
447	810	1478
448	812	1476
449	813	1473
450	814	1470
451	816	1468
452	817	1465
453	819	1463
454	820	1460
