iter	Passed	Remaining
562	18563	22190
563	18583	22141
564	18600	22089
565	18617	22038
566	18635	21987
567	18716	22011
568	18735	21962
569	18755	21914
570	18775	21866
571	18793	21815
572	18818	21773
573	18837	21725
574	18912	21741
575	18933	21694
576	18946	21639
577	18967	21592
578	18984	21542
579	19006	21496
580	19023	21445
581	19096	21458
582	19117	21412
583	19137	21365
584	19157	21318
585	19178	21272
586	19203	21231
587	19234	21197
588	19297	21197
589	19331	21166
590	19357	21126
591	19375	21077
592	19392	21028
593	19414	20983
594	19432	20934
595	19512	20952
596	19526	20900
597	19549	20857
598	19568	20809
599	19587	20762
600	19614	20724
601	19675	20721
602	19722	20703
603	19760	20676
604	19787	20637
605	19808	20593
606	19876	20597
607	19908	20563
608	19927	20516
609	19941	20464
610	19958	20415
611	19974	20366
612	19991	20317
613	20006	20267
614	20018	20213
615	20081	20211
616	20101	20166
617	20115	20115
618	20128	20063
619	20143	20013
620	20157	19962
621	20171	19912
622	20187	19863
623	20221	19832
624	20324	19868
625	20356	19836
626	20384	19799
627	20403	19753
628	20420	19706
629	20445	19666
630	20517	19672
631	20569	19658
632	20608	19631
633	20631	19590
634	20724	19614
635	20755	19580
636	20787	19547
637	20838	19531
638	20870	19498
639	20906	19468
640	21036	19526
641	21102	19524
642	21134	19491
643	21346	19622
644	21425	19631
645	21543	19676
646	21584	19650
647	21629	19627
648	21660	19591
649	21744	19603
650	21790	19581
651	21850	19571
652	21891	19545
653	21934	19519
654	21982	19499
655	22033	19480
656	22097	19474
657	22141	19449
658	22250	19482
659	22336	19493
660	22386	19473
661	22479	19491
662	22532	19473
663	22569	19442
664	22672	19467
665	22736	19459
666	22833	19478
667	22895	19467
668	22928	19432
669	22961	19397
670	23042	19402
671	23078	19369
672	23111	19333
673	23156	19308
674	23245	19319
675	23290	19294
676	23320	19255
677	23341	19210
678	23359	19162
679	23378	19115
680	23444	19106
681	23462	19059
682	23502	19029
683	23527	18987
684	23544	18939
685	23557	18887
686	23600	18859
687	23616	18811
688	23634	18763
689	23649	18714
690	23663	18663
691	23676	18612
692	23696	18567
693	23709	18516
694	23727	18469
695	23802	18467
696	23833	18430
697	23859	18390
698	23885	18349
699	23910	18308
700	23928	18261
701	23988	18247
702	24006	18201
703	24030	18159
704	24045	18110
705	24065	18065
706	24090	18025
707	24122	17989
708	24193	17982
709	24223	17945
710	24239	17898
711	24257	17852
712	24288	17815
713	24303	17767
714	24361	17751
715	24376	17703
716	24394	17657
717	24414	17613
718	24439	17573
719	24456	17527
720	24512	17508
721	24534	17466
722	24548	17418
723	24561	17369
724	24574	17320
725	24587	17272
726	24601	17224
727	24623	17182
728	24637	17134
729	24651	17087
730	24672	17044
731	24731	17027
732	24743	16979
733	24756	16931
734	24775	16887
735	24806	16852
736	24830	16811
737	24849	16768
738	24958	16785
739	25242	16919
740	25334	16924
741	25398	16909
742	25459	16892
743	25545	16893
744	25647	16903
745	25726	16898
746	25848	16920
747	25929	16916
748	26036	16928
749	26084	16902
750	26159	16893
751	26269	16907
752	26317	16881
753	26383	16865
754	26445	16847
755	26524	16840
756	26578	16817
757	26625	16790
758	26666	16758
759	26781	16773
760	26835	16749
761	26871	16715
762	26892	16671
763	26942	16645
764	26966	16603
765	27036	16588
766	27071	16553
767	27089	16507
768	27118	16468
769	27167	16441
770	27210	16410
771	27293	16404
772	27327	16368
773	27375	16340
774	27441	16323
775	27488	16295
776	27535	16266
777	27696	16304
778	27803	16311
779	27896	16308
780	27979	16300
781	28073	16298
782	28211	16321
783	28355	16347
784	28421	16328
785	28507	16321
786	28573	16301
787	28640	16283
788	29217	16552
789	29440	16620
790	29462	16574
791	29502	16539
792	29531	16497
793	29548	16448
794	29565	16400
795	29586	16354
796	29605	16307
797	29634	16265
798	29677	16231
799	29699	16185
800	29714	16136
801	29729	16088
802	29744	16039
803	29757	15989
804	29769	15938
805	29786	15891
806	29800	15841
807	29819	15795
808	29842	15750
809	29869	15709
810	29936	15688
811	30012	15671
812	30064	15642
813	30088	15598
814	30176	15588
815	30237	15563
816	30287	15533
817	30373	15521
818	30426	15491
819	30490	15468
820	30543	15439
821	30585	15404
822	30652	15382
823	30715	15357
824	30756	15322
825	30819	15297
826	30930	15296
827	30964	15257
828	31074	15256
829	31150	15237
830	31222	15216
831	31313	15205
832	31348	15166
833	31389	15130
834	31452	15104
835	31479	15061
836	31506	15019
837	31526	14973
838	31539	14923
839	31556	14876
840	31572	14828
841	31590	14782
842	31607	14735
843	31625	14688
844	31643	14642
845	31659	14594
846	31673	14546
847	31686	14498
848	31701	14450
849	31717	14403
850	31841	14405
851	31864	14361
852	31886	14317
853	31911	14274
854	31942	14234
855	32021	14215
856	32049	14173
857	32067	14127
858	32103	14089
859	32129	14047
860	32157	14005
861	32224	13981
862	32367	13989
863	32448	13970
864	32559	13964
865	32593	13925
866	32610	13879
867	32671	13851
868	32703	13811
869	32806	13801
870	32855	13768
871	32891	13730
872	33014	13727
873	33047	13687
874	33069	13643
875	33090	13598
876	33114	13555
877	33135	13510
878	33154	13465
879	33222	13439
880	33251	13398
881	33284	13359
882	33318	13319
883	33351	13280
884	33432	13259
885	33494	13231
886	33546	13199
887	33626	13178
888	33661	13139
889	33726	13111
890	33789	13083
891	33904	13075
892	34006	13061
893	34037	13021
894	34095	12990
895	34194	12975
896	34227	12935
897	34256	12893
898	34345	12874
899	34380	12835
900	34470	12816
901	34511	12779
902	34554	12742
903	34583	12701
904	34644	12670
905	34694	12637
906	34748	12604
907	34770	12560
908	34802	12519
909	34870	12492
910	34907	12453
911	34948	12415
912	34989	12378
913	35019	12337
914	35064	12301
915	35102	12263
916	35133	12222
917	35168	12182
918	35194	12139
919	35219	12097
920	35297	12072
921	35323	12029
922	35342	11985
923	35367	11942
924	35390	11898
925	35418	11857
926	35482	11827
927	35523	11790
928	35549	11747
929	35614	11718
930	35640	11676
931	35752	11661
932	35810	11629
933	35831	11585
934	35851	11541
935	35874	11498
936	35934	11466
937	35963	11425
938	35984	11381
939	36003	11337
940	36026	11294
941	36048	11250
942	36077	11209
943	36096	11165
944	36114	11120
945	36187	11093
946	36217	11052
947	36237	11008
948	36263	10966
949	36282	10922
950	36302	10879
951	36346	10842
952	36446	10823
953	36526	10797
954	36596	10768
955	36690	10746
956	36798	10727
957	36840	10690
